SBD,Solomon Islands dollar,9.487758636,"""@drawable/flag_solomon_islands"""
ZAR,South African rand,17.02843857,"""@drawable/flag_south_africa"""
KRW,South Korean won,1346.900757,"""@drawable/flag_south_korea"""
LKR,Sri Lanka rupee,235.8425293,"""@drawable/flag_sri_lanka"""
SDG,Sudanese pound,519.0697021,"""@drawable/flag_sudan"""
SRD,Suriname dollar,25.40810394,"""@drawable/flag_suriname"""
SEK,Swedish krona,10.21415043,"""@drawable/flag_sweden"""
CHF,Swiss franc,1.093961954,"""@drawable/flag_switzerland"""
TWD,Taiwan New dollar,32.97637177,"""@drawable/flag_new_taiwan"""
TJS,Tajikistan somoni,13.53364944,"""@drawable/flag_tajikistan"""
TZS,Tanzanian shilling,2751.343262,"""@drawable/flag_tanzania"""
THB,Thai baht,37.30630875,"""@drawable/flag_thailand"""
TND,Tunisian dinar,3.282277107,"""@drawable/flag_tunisia"""
TRY,Turkish lira,10.37170124,"""@drawable/flag_turkey"""
TMT,Turkmen new manat,4.164387226,"""@drawable/flag_turkmenistan"""
AED,UAE dirham,4.357899189,"""@drawable/flag_uae"""
UGX,Uganda new shilling,4194.734375,"""@drawable/flag_uganda"""
UAH,Ukrainian hryvnia,32.26794434,"""@drawable/flag_ukraine"""
UYU,Uruguayan peso uruguayo,51.82577515,"""@drawable/flag_uruguay"""
USD,US dollar,1.186434984,"""@drawable/flag_usa"""
UZS,Uzbekistani sum,12576.21094,"""@drawable/flag_uzbekistan"""
VEF,Venezuelan bolivar fuerte,2.53696E+11,"""@drawable/flag_sovereign_bolivar"""
VND,Vietnamese dong,27288.00586,"""@drawable/flag_vietnam"""
YER,Yemeni rial,296.6685181,"""@drawable/flag_yemen"""
ZMK,Zambian kwacha,10679.34277,"""@drawable/flag_zambia"""
