Tunisian Dinar,2.75,"""@drawable/flag_tunisia"""
Turkish Lira,8.57,"""@drawable/flag_turkey"""
Turkmenistani manat,3.5,"""@drawable/flag_turkmenistan"""
UAE Dirham,3.67,"""@drawable/flag_uae"""
Ugandan Shilling,3524.77,"""@drawable/flag_uganda"""
UK Pound sterling,0.71,"""@drawable/flag_uk"""
Ukrainian hryvnia,26.92,"""@drawable/flag_ukraine"""
Uruguayan Peso,43.7,"""@drawable/flag_uruguay"""
US Dollar,1,"""@drawable/flag_usa"""
Uzbekistani Som,10615.32,"""@drawable/flag_uzbekistan"""
Vietnamese dong,22947.25,"""@drawable/flag_vietnam"""
West African CFA franc,541.26,"""@drawable/flag_west_africa"""
Yemeni Rial,250,"""@drawable/flag_yemen"""
Zambian Kwacha,22.57,"""@drawable/flag_zambia"""
